Wall time,Step,Value
1675525847.1060905,1000,781.1065063476562
1675525880.5635614,2000,719.6460571289062
1675525910.8416355,3000,729.8744506835938
1675525940.2700093,4000,970.1444702148438
1675525967.5967562,5000,957.1798095703125
1675525995.395752,6000,1153.1568603515625
1675526026.0679822,7000,1044.6455078125
1675526054.2950237,8000,1238.851318359375
1675526086.1985471,9000,1240.7626953125
1675526114.5767553,10000,1305.3636474609375
1675526141.6182206,11000,1220.4066162109375
1675526169.339369,12000,1260.8856201171875
1675526195.3093607,13000,1173.6397705078125
1675526221.5444093,14000,1227.7666015625
1675526246.6174104,15000,1220.1806640625
1675526272.7799256,16000,1306.12939453125
1675526298.6791532,17000,1223.486083984375
1675526324.9576287,18000,1235.8458251953125
1675526351.7001815,19000,1191.50048828125
1675526378.201177,20000,1287.4322509765625
1675526404.792706,21000,1214.160400390625
1675526436.2902787,22000,1233.3192138671875
1675526465.8081622,23000,1144.1033935546875
1675526494.0674713,24000,1180.8408203125
1675526521.9294448,25000,1081.3709716796875
1675526551.9095314,26000,1160.361572265625
1675526580.060645,27000,1169.366943359375
1675526608.8382988,28000,1280.9854736328125
1675526637.085094,29000,1237.1417236328125
1675526666.5035737,30000,1206.3983154296875
1675526695.3321042,31000,1185.555419921875
1675526724.050557,32000,1280.664794921875
1675526752.8558683,33000,1207.05810546875
1675526781.4331336,34000,1215.5775146484375
1675526811.44734,35000,1182.9710693359375
1675526839.3752873,36000,1216.358154296875
1675526868.1243505,37000,1244.689208984375
1675526896.2304962,38000,1240.05419921875
1675526924.4280477,39000,1245.3218994140625
1675526952.9609027,40000,1226.595947265625
1675526980.811751,41000,1204.614013671875
1675527011.125062,42000,1143.60107421875
1675527039.24416,43000,1192.6146240234375
1675527065.8657577,44000,1188.8388671875
1675527091.531552,45000,1277.6746826171875
1675527117.4461992,46000,1229.908203125
1675527144.066686,47000,1182.09814453125
1675527170.1299305,48000,1202.06982421875
1675527196.9219646,49000,1238.343505859375
1675527223.5479352,50000,1299.6614990234375
1675527249.9484742,51000,1168.2254638671875
1675527277.194029,52000,1238.977294921875
1675527303.876622,53000,1137.89453125
1675527333.0466533,54000,1212.4808349609375
1675527363.7401767,55000,1302.816162109375
1675527396.2287295,56000,1240.5555419921875
1675527427.5917795,57000,1297.339599609375
1675527457.0828316,58000,1159.815673828125
1675527484.46938,59000,1244.98095703125
1675527511.422348,60000,1267.6141357421875
1675527539.2029889,61000,1272.3524169921875
1675527566.6351836,62000,1311.9351806640625
1675527594.5523362,63000,1252.063232421875
1675527622.0063658,64000,1211.15234375
1675527649.4728906,65000,1195.912841796875
1675527677.9248931,66000,1222.0166015625
1675527705.6834438,67000,1182.2130126953125
1675527734.0395913,68000,1188.123779296875
1675527761.9611099,69000,1194.56591796875
1675527790.5827038,70000,1213.7662353515625
1675527818.4377058,71000,1193.1094970703125
1675527846.6173038,72000,1232.6544189453125
1675527875.32382,73000,1246.279541015625
1675527903.7153442,74000,1254.9227294921875
1675527932.1877766,75000,1258.9825439453125
1675527960.359097,76000,1269.6724853515625
1675527988.8241286,77000,1210.8424072265625
1675528016.9265654,78000,1186.4130859375
1675528044.9725306,79000,1194.1212158203125
1675528073.4786406,80000,1249.322265625
1675528101.4252,81000,1213.6904296875
1675528130.0893013,82000,1253.1112060546875
1675528158.0129683,83000,1250.1109619140625
1675528186.6489353,84000,1173.501953125
1675528215.002448,85000,1240.9940185546875
1675528243.416451,86000,1338.314697265625
1675528271.9869726,87000,1171.4151611328125
1675528300.1240072,88000,1215.4102783203125
1675528328.7674935,89000,1248.02392578125
1675528357.132127,90000,1187.094482421875
1675528385.919681,91000,1189.7296142578125
1675528414.0748577,92000,1271.2305908203125
1675528442.579366,93000,1166.2135009765625
