#{"t_start": 1675257577.5163324, "env_id": null}
r,l,t
-1173236956.363639,192,2.992088
-1086971285.454543,192,4.124362
-320030641.168918,192,5.410069
-700483827.27273,192,6.192919
-251997512.991476,192,6.838067
